Date,
10/15/2020,39
10/16/2020,39
10/19/2020,39
10/20/2020,39
10/21/2020,39
10/22/2020,39
10/23/2020,39
10/26/2020,44
10/27/2020,44
10/28/2020,44
10/29/2020,44
10/30/2020,44
11/2/2020,32
11/3/2020,32
11/4/2020,32
11/5/2020,32
11/6/2020,32
11/9/2020,42
11/10/2020,42
11/11/2020,42
11/12/2020,42
11/13/2020,42
11/16/2020,46
11/17/2020,46
11/18/2020,46
11/19/2020,46
11/20/2020,46
11/23/2020,44
11/24/2020,44
11/25/2020,44
11/27/2020,44
11/30/2020,44
12/1/2020,44
12/2/2020,44
12/3/2020,44
12/4/2020,44
12/7/2020,48
12/8/2020,48
12/9/2020,48
12/10/2020,48
12/11/2020,48
12/14/2020,43
12/15/2020,43
12/16/2020,43
12/17/2020,43
12/18/2020,43
12/21/2020,41
12/22/2020,41
12/23/2020,41
12/24/2020,41
12/28/2020,42
12/29/2020,42
12/30/2020,42
12/31/2020,42
1/4/2021,40
1/5/2021,40
1/6/2021,40
1/7/2021,40
1/8/2021,40
1/11/2021,39
1/12/2021,39
1/13/2021,39
1/14/2021,39
1/15/2021,39
1/19/2021,37
1/20/2021,37
1/21/2021,37
1/22/2021,37
1/25/2021,37
1/26/2021,37
1/27/2021,37
1/28/2021,37
1/29/2021,37
2/1/2021,35
2/2/2021,35
2/3/2021,35
2/4/2021,35
2/5/2021,35
2/8/2021,39
2/9/2021,39
2/10/2021,39
2/11/2021,39
2/12/2021,39
2/16/2021,37
2/17/2021,37
2/18/2021,37
2/19/2021,37
2/22/2021,46
2/23/2021,46
2/24/2021,46
2/25/2021,46
2/26/2021,46
3/1/2021,38
3/2/2021,38
3/3/2021,38
3/4/2021,38
3/5/2021,38
3/8/2021,35
3/9/2021,35
3/10/2021,35
3/11/2021,35
3/12/2021,35
3/15/2021,37
3/16/2021,37
3/17/2021,37
3/18/2021,37
3/19/2021,37
3/22/2021,36
3/23/2021,36
3/24/2021,36
3/25/2021,36
3/26/2021,36
3/29/2021,35
3/30/2021,35
3/31/2021,35
4/1/2021,35
4/5/2021,32
4/6/2021,32
4/7/2021,32
4/8/2021,32
4/9/2021,32
4/12/2021,40
4/13/2021,40
4/14/2021,40
4/15/2021,40
4/16/2021,40
4/19/2021,34
4/20/2021,34
4/21/2021,34
4/22/2021,34
4/23/2021,34
4/26/2021,33
4/27/2021,33
4/28/2021,33
4/29/2021,33
4/30/2021,33
5/3/2021,30
5/4/2021,30
5/5/2021,30
5/6/2021,30
5/7/2021,30
5/10/2021,32
5/11/2021,32
5/12/2021,32
5/13/2021,32
5/14/2021,32
5/17/2021,37
5/18/2021,37
5/19/2021,37
5/20/2021,37
5/21/2021,37
5/24/2021,41
5/25/2021,41
5/26/2021,41
5/27/2021,41
5/28/2021,41
6/1/2021,43
6/2/2021,43
6/3/2021,43
6/4/2021,43
6/7/2021,40
6/8/2021,40
6/9/2021,40
6/10/2021,40
6/11/2021,40
6/14/2021,39
6/15/2021,39
6/16/2021,39
6/17/2021,39
6/18/2021,39
6/21/2021,42
6/22/2021,42
6/23/2021,42
6/24/2021,42
6/25/2021,42
6/28/2021,41
6/29/2021,41
6/30/2021,41
7/1/2021,41
7/2/2021,41
7/6/2021,37
7/7/2021,37
7/8/2021,37
7/9/2021,37
7/12/2021,38
7/13/2021,38
7/14/2021,38
7/15/2021,38
7/16/2021,38
7/19/2021,45
7/20/2021,45
7/21/2021,45
7/22/2021,45
7/23/2021,45
7/26/2021,38
7/27/2021,38
7/28/2021,38
7/29/2021,38
7/30/2021,38
8/2/2021,33
8/3/2021,33
8/4/2021,33
8/5/2021,33
8/6/2021,33
8/9/2021,32
8/10/2021,32
8/11/2021,32
8/12/2021,32
8/13/2021,32
8/16/2021,38
8/17/2021,38
8/18/2021,38
8/19/2021,38
8/20/2021,38
8/23/2021,38
8/24/2021,38
8/25/2021,38
8/26/2021,38
8/27/2021,38
8/30/2021,35
8/31/2021,35
9/1/2021,35
9/2/2021,35
9/3/2021,35
9/7/2021,32
9/8/2021,32
9/9/2021,32
9/10/2021,32
9/13/2021,34
9/14/2021,34
9/15/2021,34
9/16/2021,34
9/17/2021,34
9/20/2021,34
9/21/2021,34
9/22/2021,34
9/23/2021,34
9/24/2021,34
9/27/2021,32
9/28/2021,32
9/29/2021,32
9/30/2021,32
10/1/2021,32
10/4/2021,34
10/5/2021,34
10/6/2021,34
10/7/2021,34
10/8/2021,34
10/11/2021,34
10/12/2021,34
10/13/2021,34
10/14/2021,34
10/15/2021,34
10/18/2021,35
10/19/2021,35
10/20/2021,35
10/21/2021,35
10/22/2021,35
10/25/2021,37
10/26/2021,37
10/27/2021,37
10/28/2021,37
10/29/2021,37
11/1/2021,43
11/2/2021,43
11/3/2021,43
11/4/2021,43
11/5/2021,43
11/8/2021,39
11/9/2021,39
11/10/2021,39
11/11/2021,39
11/12/2021,39
11/15/2021,57
11/16/2021,57
11/17/2021,57
11/18/2021,57
11/19/2021,57
11/22/2021,45
11/23/2021,45
11/24/2021,45
11/26/2021,45
11/29/2021,47
11/30/2021,47
12/1/2021,47
12/2/2021,47
12/3/2021,47
12/6/2021,43
12/7/2021,43
12/8/2021,43
12/9/2021,43
12/10/2021,43
12/13/2021,46
12/14/2021,46
12/15/2021,46
12/16/2021,46
12/17/2021,46
12/20/2021,42
12/21/2021,42
12/22/2021,42
12/23/2021,42
12/27/2021,41
12/28/2021,41
12/29/2021,41
12/30/2021,41
12/31/2021,41
1/3/2022,57
1/4/2022,57
1/5/2022,57
1/6/2022,57
1/7/2022,57
1/10/2022,53
