Date,TSMC_googl
4/3/2020,13
4/6/2020,13
4/7/2020,13
4/8/2020,13
4/9/2020,13
4/13/2020,20
4/14/2020,20
4/15/2020,20
4/16/2020,20
4/17/2020,20
4/20/2020,16
4/21/2020,16
4/22/2020,16
4/23/2020,16
4/24/2020,16
4/27/2020,14
4/28/2020,14
4/29/2020,14
4/30/2020,14
5/1/2020,14
5/4/2020,13
5/5/2020,13
5/6/2020,13
5/7/2020,13
5/8/2020,13
5/11/2020,63
5/12/2020,63
5/13/2020,63
5/14/2020,63
5/15/2020,63
5/18/2020,50
5/19/2020,50
5/20/2020,50
5/21/2020,50
5/22/2020,50
5/26/2020,25
5/27/2020,25
5/28/2020,25
5/29/2020,25
6/1/2020,17
6/2/2020,17
6/3/2020,17
6/4/2020,17
6/5/2020,17
6/8/2020,28
6/9/2020,28
6/10/2020,28
6/11/2020,28
6/12/2020,28
6/15/2020,21
6/16/2020,21
6/17/2020,21
6/18/2020,21
6/19/2020,21
6/22/2020,20
6/23/2020,20
6/24/2020,20
6/25/2020,20
6/26/2020,20
6/29/2020,15
6/30/2020,15
7/1/2020,15
7/2/2020,15
7/6/2020,22
7/7/2020,22
7/8/2020,22
7/9/2020,22
7/10/2020,22
7/13/2020,35
7/14/2020,35
7/15/2020,35
7/16/2020,35
7/17/2020,35
7/20/2020,44
7/21/2020,44
7/22/2020,44
7/23/2020,44
7/24/2020,44
7/27/2020,79
7/28/2020,79
7/29/2020,79
7/30/2020,79
7/31/2020,79
8/3/2020,41
8/4/2020,41
8/5/2020,41
8/6/2020,41
8/7/2020,41
8/10/2020,29
8/11/2020,29
8/12/2020,29
8/13/2020,29
8/14/2020,29
8/17/2020,28
8/18/2020,28
8/19/2020,28
8/20/2020,28
8/21/2020,28
8/24/2020,32
8/25/2020,32
8/26/2020,32
8/27/2020,32
8/28/2020,32
8/31/2020,28
9/1/2020,28
9/2/2020,28
9/3/2020,28
9/4/2020,28
9/8/2020,20
9/9/2020,20
9/10/2020,20
9/11/2020,20
9/14/2020,27
9/15/2020,27
9/16/2020,27
9/17/2020,27
9/18/2020,27
9/21/2020,24
9/22/2020,24
9/23/2020,24
9/24/2020,24
9/25/2020,24
9/28/2020,22
9/29/2020,22
9/30/2020,22
10/1/2020,22
10/2/2020,22
10/5/2020,25
10/6/2020,25
10/7/2020,25
10/8/2020,25
10/9/2020,25
10/12/2020,31
10/13/2020,31
10/14/2020,31
10/15/2020,31
10/16/2020,31
10/19/2020,24
10/20/2020,24
10/21/2020,24
10/22/2020,24
10/23/2020,24
10/26/2020,21
10/27/2020,21
10/28/2020,21
10/29/2020,21
10/30/2020,21
11/2/2020,20
11/3/2020,20
11/4/2020,20
11/5/2020,20
11/6/2020,20
11/9/2020,23
11/10/2020,23
11/11/2020,23
11/12/2020,23
11/13/2020,23
11/16/2020,33
11/17/2020,33
11/18/2020,33
11/19/2020,33
11/20/2020,33
11/23/2020,22
11/24/2020,22
11/25/2020,22
11/27/2020,22
11/30/2020,28
12/1/2020,28
12/2/2020,28
12/3/2020,28
12/4/2020,28
12/7/2020,35
12/8/2020,35
12/9/2020,35
12/10/2020,35
12/11/2020,35
12/14/2020,28
12/15/2020,28
12/16/2020,28
12/17/2020,28
12/18/2020,28
12/21/2020,26
12/22/2020,26
12/23/2020,26
12/24/2020,26
12/28/2020,29
12/29/2020,29
12/30/2020,29
12/31/2020,29
1/4/2021,42
1/5/2021,42
1/6/2021,42
1/7/2021,42
1/8/2021,42
1/11/2021,66
1/12/2021,66
1/13/2021,66
1/14/2021,66
1/15/2021,66
1/19/2021,58
1/20/2021,58
1/21/2021,58
1/22/2021,58
1/25/2021,65
1/26/2021,65
1/27/2021,65
1/28/2021,65
1/29/2021,65
2/1/2021,58
2/2/2021,58
2/3/2021,58
2/4/2021,58
2/5/2021,58
2/8/2021,57
2/9/2021,57
2/10/2021,57
2/11/2021,57
2/12/2021,57
2/16/2021,51
2/17/2021,51
2/18/2021,51
2/19/2021,51
2/22/2021,49
2/23/2021,49
2/24/2021,49
2/25/2021,49
2/26/2021,49
3/1/2021,50
3/2/2021,50
3/3/2021,50
3/4/2021,50
3/5/2021,50
3/8/2021,51
3/9/2021,51
3/10/2021,51
3/11/2021,51
3/12/2021,51
3/15/2021,33
3/16/2021,33
3/17/2021,33
3/18/2021,33
3/19/2021,33
3/22/2021,58
3/23/2021,58
3/24/2021,58
3/25/2021,58
3/26/2021,58
3/29/2021,50
3/30/2021,50
3/31/2021,50
4/1/2021,50
4/5/2021,44
4/6/2021,44
4/7/2021,44
4/8/2021,44
4/9/2021,44
4/12/2021,50
4/13/2021,50
4/14/2021,50
4/15/2021,50
4/16/2021,50
4/19/2021,36
4/20/2021,36
4/21/2021,36
4/22/2021,36
4/23/2021,36
4/26/2021,45
4/27/2021,45
4/28/2021,45
4/29/2021,45
4/30/2021,45
5/3/2021,66
5/4/2021,66
5/5/2021,66
5/6/2021,66
5/7/2021,66
5/10/2021,49
5/11/2021,49
5/12/2021,49
5/13/2021,49
5/14/2021,49
5/17/2021,42
5/18/2021,42
5/19/2021,42
5/20/2021,42
5/21/2021,42
5/24/2021,42
5/25/2021,42
5/26/2021,42
5/27/2021,42
5/28/2021,42
6/1/2021,42
6/2/2021,42
6/3/2021,42
6/4/2021,42
6/7/2021,38
6/8/2021,38
6/9/2021,38
6/10/2021,38
6/11/2021,38
6/14/2021,36
6/15/2021,36
6/16/2021,36
6/17/2021,36
6/18/2021,36
6/21/2021,38
6/22/2021,38
6/23/2021,38
6/24/2021,38
6/25/2021,38
6/28/2021,36
6/29/2021,36
6/30/2021,36
7/1/2021,36
7/2/2021,36
7/6/2021,29
7/7/2021,29
7/8/2021,29
7/9/2021,29
7/12/2021,47
7/13/2021,47
7/14/2021,47
7/15/2021,47
7/16/2021,47
7/19/2021,37
7/20/2021,37
7/21/2021,37
7/22/2021,37
7/23/2021,37
7/26/2021,35
7/27/2021,35
7/28/2021,35
7/29/2021,35
7/30/2021,35
8/2/2021,31
8/3/2021,31
8/4/2021,31
8/5/2021,31
8/6/2021,31
8/9/2021,28
8/10/2021,28
8/11/2021,28
8/12/2021,28
8/13/2021,28
8/16/2021,36
8/17/2021,36
8/18/2021,36
8/19/2021,36
8/20/2021,36
8/23/2021,42
8/24/2021,42
8/25/2021,42
8/26/2021,42
8/27/2021,42
8/30/2021,46
8/31/2021,46
9/1/2021,46
9/2/2021,46
9/3/2021,46
9/7/2021,34
9/8/2021,34
9/9/2021,34
9/10/2021,34
9/13/2021,27
9/14/2021,27
9/15/2021,27
9/16/2021,27
9/17/2021,27
9/20/2021,28
9/21/2021,28
9/22/2021,28
9/23/2021,28
9/24/2021,28
9/27/2021,28
9/28/2021,28
9/29/2021,28
9/30/2021,28
10/1/2021,28
10/4/2021,33
10/5/2021,33
10/6/2021,33
10/7/2021,33
10/8/2021,33
10/11/2021,47
10/12/2021,47
10/13/2021,47
10/14/2021,47
10/15/2021,47
10/18/2021,55
10/19/2021,55
10/20/2021,55
10/21/2021,55
10/22/2021,55
10/25/2021,44
10/26/2021,44
10/27/2021,44
10/28/2021,44
10/29/2021,44
11/1/2021,37
11/2/2021,37
11/3/2021,37
11/4/2021,37
11/5/2021,37
11/8/2021,45
11/9/2021,45
11/10/2021,45
11/11/2021,45
11/12/2021,45
11/15/2021,37
11/16/2021,37
11/17/2021,37
11/18/2021,37
11/19/2021,37
11/22/2021,28
11/23/2021,28
11/24/2021,28
11/26/2021,28
11/29/2021,28
11/30/2021,28
12/1/2021,28
12/2/2021,28
12/3/2021,28
12/6/2021,29
12/7/2021,29
12/8/2021,29
