Date,NVDA close,Biden,Covid (no vax),First Vax,Booster,Ukraine,Pelosi is Speaker,NVIDIA 2000 release,NVIDIA 3000 release,NVIDIA 4000 release,Apple close,Nasdaq close,TSM close,Oil close,Treasury close,Bitcoin Close,NVDA goog Trend,TSMC goog Trend,TSM quarter earnings,NVDA quarter Earnings 
3/20/18,61.803867,0,0,0,0,0,0,0,0,0,41.828762,7364.299805,38.98011,63.4,2.681,8913.469727,33,6,0.651,0.395
3/21/18,61.551281,0,0,0,0,0,0,0,0,0,40.881149,7345.290039,38.867077,65.17,2.698,8929.280273,33,6,0.651,0.395
3/22/18,59.889668,0,0,0,0,0,0,0,0,0,40.303505,7166.680176,37.988861,64.3,2.632,8728.469727,33,6,0.651,0.395
3/23/18,57.690704,0,0,0,0,0,0,0,0,0,39.37022,6992.669922,37.023716,65.88,2.611,8879.620117,33,6,0.651,0.395
3/26/18,60.540936,0,0,0,0,0,0,0,0,0,41.239193,7220.540039,38.493179,65.55,2.635,8209.400391,40,6,0.651,0.395
3/27/18,55.845844,0,0,0,0,0,0,0,0,0,40.181774,7008.810059,37.641068,65.25,2.579,7833.040039,40,6,0.651,0.395
3/28/18,54.813217,0,0,0,0,0,0,0,0,0,39.737808,6949.22998,37.119362,64.38,2.589,7954.47998,40,6,0.651,0.395
3/29/18,57.348972,0,0,0,0,0,0,0,0,0,40.048107,7063.450195,38.049732,64.94,2.562,7165.700195,40,6,0.651,0.395
4/2/18,54.738934,0,0,0,0,0,0,0,0,0,39.785545,6870.120117,36.954155,63.01,2.549,7083.799805,35,8,0.651,0.395
4/3/18,55.803757,0,0,0,0,0,0,0,0,0,40.193714,6941.279785,37.806274,63.51,2.604,7456.109863,35,8,0.651,0.395
4/4/18,56.024147,0,0,0,0,0,0,0,0,0,40.962307,7042.109863,38.206245,63.37,2.606,6853.839844,35,8,0.651,0.395
4/5/18,54.820648,0,0,0,0,0,0,0,0,0,41.246353,7076.549805,37.667145,63.54,2.64,6811.470215,35,8,0.651,0.395
4/6/18,53.055038,0,0,0,0,0,0,0,0,0,40.191319,6915.109863,36.88459,62.06,2.589,6636.319824,35,8,0.651,0.395
4/9/18,53.342293,0,0,0,0,0,0,0,0,0,40.589939,6950.339844,37.449772,63.42,2.601,6770.72998,30,8,0.651,0.395
4/10/18,56.437683,0,0,0,0,0,0,0,0,0,41.353764,7094.299805,37.893227,65.51,2.625,6834.759766,30,8,0.651,0.395
4/11/18,56.024147,0,0,0,0,0,0,0,0,0,41.160423,7069.029785,37.719318,66.82,2.62,6968.319824,30,8,0.651,0.395
4/12/18,58.094337,0,0,0,0,0,0,0,0,0,41.566204,7140.25,38.127983,67.07,2.671,7889.25,30,8,0.651,0.395
4/13/18,57.326672,0,0,0,0,0,0,0,0,0,41.707024,7106.649902,37.084576,67.39,2.676,7895.959961,30,8,0.651,0.395
4/16/18,57.324203,0,0,0,0,0,0,0,0,0,41.967209,7156.279785,37.275867,66.22,2.683,8058.669922,31,13,0.651,0.395
4/17/18,58.822365,0,0,0,0,0,0,0,0,0,42.544857,7281.100098,36.788948,66.52,2.678,7902.089844,31,13,0.651,0.395
4/18/18,58.532639,0,0,0,0,0,0,0,0,0,42.449383,7295.240234,36.449829,68.47,2.731,8163.419922,31,13,0.59,0.395
4/19/18,56.717503,0,0,0,0,0,0,0,0,0,41.246353,7238.060059,34.371704,68.29,2.76,8294.30957,31,13,0.59,0.395
4/20/18,56.635788,0,0,0,0,0,0,0,0,0,39.556396,7146.129883,33.867393,68.38,2.793,8845.830078,31,13,0.59,0.395
4/23/18,55.439724,0,0,0,0,0,0,0,0,0,39.441814,7128.600098,33.693497,68.64,2.819,8930.879883,29,12,0.59,0.395
4/24/18,54.776077,0,0,0,0,0,0,0,0,0,38.892834,7007.350098,33.693497,67.7,2.811,9697.5,29,12,0.59,0.395
4/25/18,53.651836,0,0,0,0,0,0,0,0,0,39.062298,7003.740234,33.189175,68.05,2.835,8845.740234,29,12,0.59,0.395
4/26/18,55.771557,0,0,0,0,0,0,0,0,0,39.198357,7118.680176,33.189175,68.19,2.819,9281.509766,29,12,0.59,0.395
4/27/18,56.046432,0,0,0,0,0,0,0,0,0,38.744843,7119.799805,33.189175,68.1,2.801,8987.049805,29,12,0.59,0.395
4/30/18,55.69231,0,0,0,0,0,0,0,0,0,39.446598,7066.27002,33.43264,68.57,2.789,9240.549805,31,11,0.59,0.395
5/1/18,56.247005,0,0,0,0,0,0,0,0,0,40.363186,7130.700195,33.850002,67.25,2.821,9119.009766,31,11,0.59,0.395
5/2/18,56.041473,0,0,0,0,0,0,0,0,0,42.146229,7100.899902,32.823986,67.93,2.802,9235.919922,31,11,0.59,0.395
5/3/18,57.695648,0,0,0,0,0,0,0,0,0,42.222607,7088.149902,33.1283,68.43,2.782,9743.860352,31,11,0.59,0.395
5/4/18,59.198772,0,0,0,0,0,0,0,0,0,43.879143,7209.620117,33.554371,69.72,2.78,9700.759766,31,11,0.59,0.395
5/7/18,61.580986,0,0,0,0,0,0,0,0,0,44.196613,7265.209961,33.43264,70.73,2.784,9373.009766,39,6,0.59,0.395
5/8/18,62.006916,0,0,0,0,0,0,0,0,0,44.409046,7266.899902,34.067379,69.06,2.808,9234.820313,39,6,0.59,0.395
5/9/18,63.339172,0,0,0,0,0,0,0,0,0,44.721733,7339.910156,34.215191,71.14,2.838,9325.179688,39,6,0.59,0.495
5/10/18,64.416374,0,0,0,0,0,0,0,0,0,45.361443,7404.970215,34.580387,71.36,2.833,9043.94043,39,6,0.59,0.495
5/11/18,63.029629,0,0,0,0,0,0,0,0,0,45.188911,7402.879883,34.702118,70.7,2.838,8441.490234,39,6,0.59,0.495
5/14/18,63.235168,0,0,0,0,0,0,0,0,0,45.083481,7411.319824,34.7369,70.96,2.852,8716.790039,30,7,0.59,0.495
5/15/18,60.808376,0,0,0,0,0,0,0,0,0,44.673737,7351.629883,34.171719,71.31,2.925,8510.379883,30,7,0.59,0.495
5/16/18,60.919807,0,0,0,0,0,0,0,0,0,45.090672,7398.299805,34.59779,71.49,2.934,8368.830078,30,7,0.59,0.495
5/17/18,61.34079,0,0,0,0,0,0,0,0,0,44.805538,7382.470215,33.876087,71.49,2.932,8094.319824,30,7,0.59,0.495
5/18/18,60.902477,0,0,0,0,0,0,0,0,0,44.642605,7354.339844,33.406551,71.28,2.892,8250.969727,30,7,0.59,0.495
5/21/18,60.481514,0,0,0,0,0,0,0,0,0,44.958893,7394.040039,34.319538,72.24,2.898,8418.990234,34,11,0.59,0.495
5/22/18,60.100166,0,0,0,0,0,0,0,0,0,44.846275,7378.459961,34.467346,72.13,2.899,8041.779785,34,11,0.59,0.495
5/23/18,61.336594,0,0,0,0,0,0,0,0,0,45.133801,7425.959961,34.476055,71.84,2.83,7557.819824,34,11,0.59,0.495
5/24/18,61.37376,0,0,0,0,0,0,0,0,0,45.083481,7424.430176,34.145634,70.71,2.816,7587.339844,34,11,0.59,0.495
5/25/18,61.767746,0,0,0,0,0,0,0,0,0,45.18652,7433.850098,34.171719,67.88,2.764,7480.140137,34,11,0.59,0.495
5/29/18,61.596771,0,0,0,0,0,0,0,0,0,45.02359,7396.589844,33.180485,66.73,2.576,7472.589844,31,7,0.59,0.495
5/30/18,62.687023,0,0,0,0,0,0,0,0,0,44.927731,7462.450195,33.336987,68.21,2.673,7406.52002,31,7,0.59,0.495
5/31/18,62.488789,0,0,0,0,0,0,0,0,0,44.776775,7442.120117,33.650013,67.04,2.664,7494.169922,31,7,0.59,0.495
6/1/18,63.834267,0,0,0,0,0,0,0,0,0,45.584286,7554.330078,34.084774,65.81,2.738,7541.450195,31,7,0.59,0.495
6/4/18,65.625755,0,0,0,0,0,0,0,0,0,45.965271,7606.459961,34.754292,64.75,2.785,7514.470215,30,9,0.59,0.495
6/5/18,65.680275,0,0,0,0,0,0,0,0,0,46.319893,7637.859863,34.380402,65.52,2.762,7633.759766,30,9,0.59,0.495
6/6/18,65.700089,0,0,0,0,0,0,0,0,0,46.480434,7689.240234,34.397797,64.73,2.813,7653.97998,30,9,0.59,0.495
6/7/18,65.14257,0,0,0,0,0,0,0,0,0,46.355839,7635.069824,34.363007,65.95,2.777,7678.240234,30,9,0.59,0.495
6/8/18,64.988937,0,0,0,0,0,0,0,0,0,45.934113,7645.509766,33.850002,65.74,2.775,7624.919922,30,9,0.59,0.495
6/11/18,64.577621,0,0,0,0,0,0,0,0,0,45.821495,7659.930176,33.70219,66.1,2.802,6906.919922,33,10,0.59,0.495
6/12/18,65.063278,0,0,0,0,0,0,0,0,0,46.073097,7703.790039,34.084774,66.36,2.808,6582.359863,33,10,0.59,0.495
6/13/18,65.018677,0,0,0,0,0,0,0,0,0,45.6945,7695.700195,33.954346,66.64,2.84,6349.899902,33,10,0.59,0.495
6/14/18,66.136177,0,0,0,0,0,0,0,0,0,45.718468,7761.040039,33.563061,66.89,2.816,6675.350098,33,10,0.59,0.495
6/15/18,65.727348,0,0,0,0,0,0,0,0,0,45.248817,7746.379883,33.641319,65.06,2.799,6456.580078,33,10,0.59,0.495
6/18/18,65.685204,0,0,0,0,0,0,0,0,0,45.224865,7747.029785,33.258739,65.85,2.799,6734.819824,30,8,0.59,0.495
6/19/18,64.466133,0,0,0,0,0,0,0,0,0,44.494038,7725.589844,32.658779,65.07,2.767,6769.939941,30,8,0.59,0.495
6/20/18,64.996407,0,0,0,0,0,0,0,0,0,44.688126,7781.509766,33.345684,66.22,2.796,6776.549805,30,8,0.59,0.495
6/21/18,63.707901,0,0,0,0,0,0,0,0,0,44.438923,7712.950195,32.710941,65.54,2.767,6729.740234,30,8,0.59,0.495
6/22/18,62.181541,0,0,0,0,0,0,0,0,0,44.309528,7692.819824,33.145695,68.58,2.774,6083.689941,30,8,0.59,0.495
6/25/18,59.250248,0,0,0,0,0,0,0,0,0,43.650585,7532.009766,32.906849,68.08,2.743,6249.180176,34,11,0.59,0.495
6/26/18,59.961391,0,0,0,0,0,0,0,0,0,44.192112,7561.629883,32.86179,70.53,2.748,6093.669922,34,11,0.59,0.495
6/27/18,58.407772,0,0,0,0,0,0,0,0,0,44.127422,7445.080078,32.005539,72.76,2.697,6157.129883,34,11,0.59,0.495
6/28/18,59.681393,0,0,0,0,0,0,0,0,0,44.448509,7503.680176,32.393108,73.45,2.726,5903.439941,34,11,0.59,0.495
6/29/18,58.700172,0,0,0,0,0,0,0,0,0,44.355061,7510.299805,32.95192,74.15,2.731,6218.299805,34,11,0.59,0.495
7/2/18,60.023346,0,0,0,0,0,0,0,0,0,44.851059,7567.689941,32.933895,73.94,2.753,6614.180176,28,6,0.59,0.495
7/3/18,58.685307,0,0,0,0,0,0,0,0,0,44.069923,7502.669922,32.798698,74.14,2.73,6529.589844,28,6,0.59,0.495
7/5/18,60.14476,0,0,0,0,0,0,0,0,0,44.424541,7586.430176,32.978954,72.94,2.741,6639.140137,28,6,0.59,0.495
7/6/18,61.284561,0,0,0,0,0,0,0,0,0,45.040356,7688.390137,33.591846,73.8,2.723,6673.5,28,6,0.59,0.495
7/9/18,61.7603,0,0,0,0,0,0,0,0,0,45.665752,7756.200195,34.096584,73.85,2.752,6741.75,32,8,0.59,0.495
7/10/18,62.751442,0,0,0,0,0,0,0,0,0,45.610645,7759.200195,34.18671,74.11,2.772,6329.950195,32,8,0.59,0.495
7/11/18,61.334118,0,0,0,0,0,0,0,0,0,45.018791,7716.609863,33.321457,70.38,2.74,6394.709961,32,8,0.59,0.495
7/12/18,62.250927,0,0,0,0,0,0,0,0,0,45.773575,7823.919922,33.627895,70.33,2.755,6228.810059,32,8,0.59,0.495
7/13/18,61.77766,0,0,0,0,0,0,0,0,0,45.845463,7825.97998,34.0425,71.01,2.727,6238.049805,32,8,0.59,0.495
7/16/18,61.500134,0,0,0,0,0,0,0,0,0,45.744823,7805.720215,34.060528,68.06,2.754,6741.75,33,11,0.59,0.495
7/17/18,62.860477,0,0,0,0,0,0,0,0,0,45.874214,7855.120117,34.285854,68.08,2.763,7321.040039,33,11,0.59,0.495
7/18/18,62.367382,0,0,0,0,0,0,0,0,0,45.622612,7854.439941,34.619339,68.76,2.768,7370.779785,33,11,0.59,0.495
7/19/18,62.449146,0,0,0,0,0,0,0,0,0,45.977245,7825.299805,35.881172,69.46,2.74,7466.859863,33,11,0.455,0.495
7/20/18,62.166679,0,0,0,0,0,0,0,0,0,45.871819,7820.200195,36.710381,70.46,2.768,7354.129883,33,11,0.455,0.495
7/23/18,61.799957,0,0,0,0,0,0,0,0,0,45.912552,7841.870117,36.719395,67.89,2.828,7711.109863,33,9,0.455,0.495
7/24/18,61.626507,0,0,0,0,0,0,0,0,0,46.245617,7840.77002,36.403938,68.52,2.818,8424.269531,33,9,0.455,0.495
7/25/18,62.409508,0,0,0,0,0,0,0,0,0,46.681717,7932.240234,36.854595,69.3,2.814,8181.390137,33,9,0.455,0.495
7/26/18,63.145428,0,0,0,0,0,0,0,0,0,46.535545,7852.180176,36.7915,69.61,2.858,7951.580078,33,9,0.455,0.495
7/27/18,62.446678,0,0,0,0,0,0,0,0,0,45.761597,7737.419922,37.359322,68.69,2.846,8165.009766,33,9,0.455,0.495
7/30/18,60.491646,0,0,0,0,0,0,0,0,0,45.505207,7630,37.034851,70.13,2.85,8180.47998,32,11,0.455,0.495
7/31/18,60.672535,0,0,0,0,0,0,0,0,0,45.59626,7671.790039,37.143009,68.76,2.848,7780.439941,32,11,0.455,0.495
8/1/18,61.071472,0,0,0,0,0,0,0,0,0,48.282337,7707.290039,37.593674,67.66,2.875,7624.910156,32,11,0.455,0.495
8/2/18,62.099777,0,0,0,0,0,0,0,0,0,49.693668,7802.689941,37.449459,68.96,2.853,7567.149902,32,11,0.455,0.495
8/3/18,62.466499,0,0,0,0,0,0,0,0,0,49.837448,7812.009766,37.575645,68.49,2.816,7434.390137,32,11,0.455,0.495
8/6/18,62.944717,0,0,0,0,0,0,0,0,0,50.096226,7859.680176,37.01683,69.01,2.806,6951.799805,30,24,0.455,0.495
8/7/18,63.668255,0,0,0,0,0,0,0,0,0,49.626579,7883.660156,37.170052,69.17,2.841,6753.120117,30,24,0.455,0.495
8/8/18,64.032486,0,0,0,0,0,0,0,0,0,49.660122,7888.330078,37.828014,66.94,2.838,6305.799805,30,24,0.455,0.495
8/9/18,63.546829,0,0,0,0,0,0,0,0,0,50.050701,7891.779785,37.710831,66.81,2.813,6568.22998,30,24,0.455,0.495
8/10/18,63.133022,0,0,0,0,0,0,0,0,0,49.901615,7839.109863,36.980778,67.63,2.73,6184.709961,30,24,0.455,0.495
8/13/18,63.462585,0,0,0,0,0,0,0,0,0,50.223816,7819.709961,36.692352,67.2,2.747,6297.569824,45,10,0.455,0.495
8/14/18,64.778313,0,0,0,0,0,0,0,0,0,50.435432,7870.890137,36.872623,67.04,2.767,6199.709961,45,10,0.455,0.495
8/15/18,64.19603,0,0,0,0,0,0,0,0,0,50.553253,7774.120117,36.458012,65.01,2.724,6308.52002,45,10,0.455,0.44
8/16/18,63.789673,0,0,0,0,0,0,0,0,0,51.293854,7806.52002,36.421959,65.46,2.748,6334.72998,45,10,0.455,0.44
8/17/18,60.662624,0,0,0,0,0,0,0,0,0,52.318192,7816.330078,36.169601,65.91,2.752,6580.629883,45,10,0.455,0.44
8/20/18,61.410938,0,0,0,0,0,0,0,0,0,51.808426,7821.009766,36.142551,66.43,2.702,6308.529785,58,12,0.455,0.44
8/21/18,62.768799,0,0,0,0,0,0,0,0,0,51.707424,7859.169922,36.854595,67.35,2.726,6488.759766,58,12,0.455,0.44
8/22/18,65.122749,0,0,0,0,0,0,0,0,0,51.709843,7889.100098,36.863605,67.86,2.706,6376.709961,58,12,0.455,0.44
8/23/18,66.118835,0,0,0,0,0,0,0,0,0,51.815639,7878.459961,36.665318,67.83,2.714,6534.879883,58,12,0.455,0.44
8/24/18,67.451912,0,0,0,0,0,0,0,0,0,51.976746,7945.97998,37.170052,68.72,2.724,6719.959961,58,12,0.455,0.44
8/27/18,68.363762,0,0,0,0,0,0,0,0,0,52.404751,8017.899902,37.431431,68.87,2.745,6884.640137,34,20,0.455,0.44
8/28/18,67.987144,0,0,0,0,0,0,0,0,0,52.82795,8030.040039,38.170509,68.53,2.774,7096.279785,34,20,0.455,0.44
8/29/18,69.043274,0,0,0,0,0,0,0,0,0,53.616634,8109.689941,39.774841,69.51,2.78,7047.160156,34,20,0.455,0.44
8/30/18,68.874687,0,0,0,0,0,0,0,0,0,54.109581,8088.359863,39.170963,70.25,2.755,6978.22998,34,20,0.455,0.44
8/31/18,69.586212,0,0,0,0,0,0,0,0,0,54.734768,8109.540039,39.297142,69.8,2.735,7037.580078,34,20,0.455,0.44
9/4/18,70.334953,0,0,0,0,0,0,0,0,0,54.91029,8091.25,39.756809,69.87,2.775,7361.660156,33,12,0.455,0.44
9/5/18,69.025925,0,0,0,0,0,0,0,0,0,54.552017,7995.169922,39.855961,68.72,2.77,6792.830078,33,12,0.455,0.44
9/6/18,67.612785,0,0,0,0,0,0,0,0,0,53.6455,7922.72998,39.702736,67.77,2.748,6529.169922,33,12,0.455,0.44
9/7/18,67.399551,0,0,0,0,0,0,0,0,0,53.212685,7902.540039,40.450825,67.75,2.823,6467.069824,33,12,0.455,0.44
9/10/18,68.111084,0,0,0,0,0,0,0,0,0,52.498531,7924.160156,40.216484,67.54,2.828,6329.700195,32,15,0.455,0.44
9/11/18,67.632607,0,0,0,0,0,0,0,0,0,53.825848,7972.470215,40.153385,69.25,2.869,6321.200195,32,15,0.455,0.44
9/12/18,66.492188,0,0,0,0,0,0,0,0,0,53.157379,7954.22998,39.603588,70.37,2.86,6351.799805,32,15,0.455,0.44
9/13/18,67.270638,0,0,0,0,0,0,0,0,0,54.441402,8013.709961,39.143909,68.59,2.866,6517.310059,32,15,0.455,0.44
9/14/18,68.532562,0,0,0,0,0,0,0,0,0,53.823444,8010.040039,40.027206,68.99,2.898,6512.709961,32,15,0.455,0.44
9/17/18,67.912758,0,0,0,0,0,0,0,0,0,52.390335,7895.790039,39.441353,68.91,2.902,6281.200195,29,13,0.455,0.44
9/18/18,67.191315,0,0,0,0,0,0,0,0,0,52.476883,7956.109863,39.261093,69.85,2.936,6371.299805,29,13,0.455,0.44
9/19/18,67.429306,0,0,0,0,0,0,0,0,0,52.508141,7950.040039,39.67569,71.12,2.96,6398.540039,29,13,0.455,0.44
9/20/18,66.016182,0,0,0,0,0,0,1,0,0,52.907307,8028.22998,39.81089,70.8,2.962,6519.669922,29,13,0.455,0.44
9/21/18,65.31456,0,0,0,0,0,0,1,0,0,52.337425,7986.959961,39.711746,70.78,2.954,6734.950195,29,13,0.455,0.44
9/24/18,65.872383,0,0,0,0,0,0,1,0,0,53.090046,7993.25,40.459839,72.08,2.959,6595.410156,30,11,0.455,0.44
9/25/18,66.544243,0,0,0,0,0,0,1,0,0,53.426678,8007.470215,39.81089,72.28,2.983,6446.470215,30,11,0.455,0.44
9/26/18,66.174835,0,0,0,0,0,0,1,0,0,53.00108,7990.370117,39.901016,71.57,2.958,6495,30,11,0.455,0.44
9/27/18,66.293854,0,0,0,0,0,0,1,0,0,54.090343,8041.970215,40.342663,72.12,2.96,6676.75,30,11,0.455,0.44
9/28/18,69.670502,0,0,0,0,0,0,1,0,0,54.2803,8046.350098,39.80188,73.25,2.948,6644.129883,30,11,0.455,0.44
10/1/18,71.738159,0,0,0,0,0,0,1,0,0,54.64579,8037.299805,40.252533,75.3,2.96,6589.620117,30,10,0.455,0.44
10/2/18,71.024155,0,0,0,0,0,0,1,0,0,55.131508,7999.549805,39.31517,75.23,2.944,6556.100098,30,10,0.455,0.44
10/3/18,71.086136,0,0,0,0,0,0,1,0,0,55.80238,8025.089844,39.621613,76.41,3.024,6502.589844,30,10,0.455,0.44
10/4/18,69.241608,0,0,0,0,0,0,1,0,0,54.821331,7879.509766,38.242607,74.33,3.054,6576.689941,30,10,0.455,0.44
10/5/18,66.903725,0,0,0,0,0,0,1,0,0,53.931648,7788.450195,37.521561,74.34,3.071,6622.47998,30,10,0.455,0.44
10/8/18,65.889732,0,0,0,0,0,0,1,0,0,53.806602,7735.950195,36.91769,74.29,3.073,6652.22998,32,13,0.455,0.44
10/9/18,65.832733,0,0,0,0,0,0,1,0,0,54.552017,7738.02002,36.863605,74.96,3.057,6642.640137,32,13,0.455,0.44
10/10/18,60.911499,0,0,0,0,0,0,1,0,0,52.024826,7422.049805,35.466568,73.17,3.059,6585.529785,32,13,0.455,0.44
10/11/18,58.293449,0,0,0,0,0,0,1,0,0,51.565563,7329.060059,35.097038,70.97,2.989,6256.240234,32,13,0.455,0.44
10/12/18,61.122227,0,0,0,0,0,0,1,0,0,53.407444,7496.890137,35.745987,71.34,2.994,6274.580078,32,13,0.455,0.44
10/15/18,58.355442,0,0,0,0,0,0,1,0,0,52.265289,7430.740234,34.925797,71.78,3.018,6596.540039,30,13,0.455,0.44
10/16/18,60.946209,0,0,0,0,0,0,1,0,0,53.417065,7645.490234,36.06144,71.92,3.017,6596.109863,30,13,0.455,0.44
10/17/18,60.259457,0,0,0,0,0,0,1,0,0,53.18623,7642.700195,35.664864,69.75,3.041,6544.430176,30,13,0.555,0.44
10/18/18,59.384304,0,0,0,0,0,0,1,0,0,51.943073,7485.140137,34.736515,68.65,3.024,6476.709961,30,13,0.555,0.44
10/19/18,56.815849,0,0,0,0,0,0,1,0,0,52.734173,7449.029785,34.655399,69.12,3.052,6465.410156,30,13,0.555,0.44
10/22/18,57.324089,0,0,0,0,0,0,1,0,0,53.056377,7468.629883,34.898743,69.17,3.048,6487.160156,32,11,0.555,0.44
10/23/18,54.805214,0,0,0,0,0,0,1,0,0,53.556526,7437.540039,34.249802,66.43,3.009,6475.740234,32,11,0.555,0.44
10/24/18,49.437756,0,0,0,0,0,0,1,0,0,51.71946,7108.399902,32.879814,66.82,2.964,6495.839844,32,11,0.555,0.44
10/25/18,51.527721,0,0,0,0,0,0,1,0,0,52.85199,7318.339844,33.700001,67.33,2.98,6476.290039,32,11,0.555,0.44
10/26/18,49.160076,0,0,0,0,0,0,1,0,0,52.010406,7167.209961,33.051064,67.59,2.907,6474.75,32,11,0.555,0.44
10/29/18,46.018929,0,0,0,0,0,0,1,0,0,51.034161,7050.290039,32.744614,67.04,2.919,6332.629883,32,6,0.555,0.44
10/30/18,50.327782,0,0,0,0,0,0,1,0,0,51.289043,7161.649902,34.051514,66.18,2.939,6334.27002,32,6,0.555,0.44
10/31/18,52.269001,0,0,0,0,0,0,1,0,0,52.62598,7305.899902,34.339928,65.31,2.987,6317.609863,32,6,0.555,0.44
11/1/18,54.073864,0,0,0,0,0,0,1,0,0,53.433899,7434.060059,35.196186,63.69,2.968,6377.779785,32,6,0.555,0.44
11/2/18,53.283001,0,0,0,0,0,0,1,0,0,49.889591,7356.990234,34.952827,63.14,3.038,6388.439941,32,6,0.555,0.44
11/5/18,52.502048,0,0,0,0,0,0,1,0,0,48.473309,7328.850098,34.682434,63.1,3.026,6419.660156,29,8,0.555,0.44
11/6/18,52.326019,0,0,0,0,0,0,1,0,0,48.997505,7375.959961,34.907761,62.21,3.05,6461.009766,29,8,0.555,0.44
11/7/18,53.002842,0,0,0,0,0,0,1,0,0,50.483521,7570.75,35.313351,61.67,3.061,6530.140137,29,8,0.555,0.44
11/8/18,51.069065,0,0,0,0,0,0,1,0,0,50.307377,7530.879883,34.880722,60.67,3.09,6453.720215,29,8,0.555,0.44
11/9/18,50.989735,0,0,0,0,0,0,1,0,0,49.337376,7406.899902,34.312897,60.19,3.044,6385.620117,29,8,0.555,0.44
11/12/18,46.99078,0,0,0,0,0,0,1,0,0,46.852043,7200.870117,33.402576,59.93,3.039,6371.27002,40,7,0.555,0.44
11/13/18,49.41296,0,0,0,0,0,0,1,0,0,46.383926,7200.870117,33.709023,55.69,2.987,6359.490234,40,7,0.555,0.44
11/14/18,48.887375,0,0,0,0,0,0,1,0,0,45.073719,7136.390137,34.105598,56.25,2.952,5738.350098,40,7,0.555,0.492
11/15/18,50.176552,0,0,0,0,0,0,1,0,0,46.186073,7259.029785,34.718487,56.46,2.945,5648.029785,40,7,0.555,0.492
11/16/18,40.765491,0,0,0,0,0,0,1,0,0,46.697613,7247.870117,33.231316,56.46,2.894,5575.549805,40,7,0.555,0.492
