,Date,Cases,Deaths
162,2020-07-01,2703296,128104
163,2020-07-02,2758855,128827
164,2020-07-03,2816009,129418
165,2020-07-04,2866015,129679
166,2020-07-05,2910782,129941
167,2020-07-06,2958098,130332
168,2020-07-07,3012182,131290
169,2020-07-08,3071637,132238
170,2020-07-09,3131526,133079
171,2020-07-10,3199753,133907
172,2020-07-11,3260474,134582
173,2020-07-12,3318279,134977
174,2020-07-13,3379846,135402
175,2020-07-14,3445448,136356
176,2020-07-15,3513790,137327
177,2020-07-16,3589477,138285
178,2020-07-17,3660400,139186
179,2020-07-18,3722851,139961
180,2020-07-19,3785126,140373
181,2020-07-20,3845014,140904
182,2020-07-21,3910291,142031
183,2020-07-22,3980030,143167
184,2020-07-23,4050036,144283
185,2020-07-24,4123561,145429
186,2020-07-25,4190337,146313
187,2020-07-26,4244554,146753
188,2020-07-27,4303735,148449
189,2020-07-28,4366851,149776
190,2020-07-29,4433633,151172
191,2020-07-30,4502581,152433
192,2020-07-31,4571669,153862
193,2020-08-01,4628497,154917
